country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",08-04-2025 15:00,28.656756,77.227234,PM2.5,NA,NA,NA
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",08-04-2025 15:00,28.656756,77.227234,PM10,NA,NA,NA
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",08-04-2025 15:00,28.656756,77.227234,NO2,74,183,126
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",08-04-2025 15:00,22.118125,83.140608,CO,26,39,28
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",08-04-2025 15:00,22.368195,82.746431,NO2,22,37,27
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",08-04-2025 15:00,22.368195,82.746431,NH3,1,1,1
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",08-04-2025 15:00,22.368195,82.746431,SO2,17,28,21
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",08-04-2025 15:00,22.368195,82.746431,OZONE,4,9,5
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",08-04-2025 15:00,22.348441,82.549611,PM2.5,85,311,204
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",08-04-2025 15:00,21.185571,81.343175,SO2,9,11,10
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",08-04-2025 15:00,21.224231,81.40835,NO2,17,96,57
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",08-04-2025 15:00,21.224231,81.40835,SO2,7,98,35
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",08-04-2025 15:00,22.118125,83.140608,PM2.5,29,62,44
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",08-04-2025 15:00,28.498571,77.26484,CO,12,114,29
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",08-04-2025 15:00,28.5710274,77.0719006,PM10,131,332,211
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",08-04-2025 15:00,28.5627763,77.1180053,NO2,50,166,106
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",08-04-2025 15:00,28.647622,77.315809,SO2,6,36,18
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",08-04-2025 15:00,28.647622,77.315809,CO,100,173,112
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",08-04-2025 15:00,28.695381,77.181665,NO2,26,151,80
India,Delhi,Delhi,"Bawana, Delhi - DPCC",08-04-2025 15:00,28.7762,77.051074,NO2,15,65,39
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",08-04-2025 15:00,30.751462,76.762879,CO,18,86,32
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",08-04-2025 15:00,30.751462,76.762879,OZONE,1,88,60
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",08-04-2025 15:00,30.719859,76.738637,PM2.5,60,263,121
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",08-04-2025 15:00,30.719859,76.738637,SO2,6,18,7
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",08-04-2025 15:00,21.219665,81.630094,OZONE,6,30,10
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",08-04-2025 15:00,21.371751,81.664929,NH3,3,3,3
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",08-04-2025 15:00,21.371751,81.664929,OZONE,4,31,16
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",08-04-2025 15:00,22.06631475,83.33820077,SO2,NA,NA,NA
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",08-04-2025 15:00,28.647622,77.315809,NO2,31,120,77
India,Delhi,Delhi,"ITO, Delhi - CPCB",08-04-2025 15:00,28.628624,77.24106,PM2.5,73,316,202
India,Delhi,Delhi,"ITO, Delhi - CPCB",08-04-2025 15:00,28.628624,77.24106,NO2,12,226,87
India,Delhi,Delhi,"ITO, Delhi - CPCB",08-04-2025 15:00,28.628624,77.24106,NH3,8,16,11
India,Delhi,Delhi,"ITO, Delhi - CPCB",08-04-2025 15:00,28.628624,77.24106,SO2,11,34,24
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",08-04-2025 15:00,28.73282,77.170633,PM2.5,85,336,241
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",08-04-2025 15:00,28.73282,77.170633,PM10,147,486,276
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",08-04-2025 15:00,28.73282,77.170633,NO2,72,161,107
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",08-04-2025 15:00,28.73282,77.170633,SO2,25,70,41
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",08-04-2025 15:00,28.58028,77.233829,NO2,65,169,119
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",08-04-2025 15:00,28.58028,77.233829,NH3,16,25,21
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",08-04-2025 15:00,28.58028,77.233829,SO2,3,40,17
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",08-04-2025 15:00,28.58028,77.233829,OZONE,9,78,40
India,Delhi,Delhi,"Lodhi Road, Delhi - IITM",08-04-2025 15:00,28.588333,77.221667,PM10,117,215,173
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",08-04-2025 15:00,28.5918245,77.2273074,PM10,NA,NA,NA
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",08-04-2025 15:00,28.5918245,77.2273074,CO,24,32,29
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",08-04-2025 15:00,28.611281,77.237738,NH3,17,21,19
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",08-04-2025 15:00,28.636429,77.201067,NO2,140,188,163
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",08-04-2025 15:00,28.570173,76.933762,OZONE,6,321,301
India,Delhi,Delhi,"Narela, Delhi - DPCC",08-04-2025 15:00,28.822836,77.101981,NH3,7,15,10
India,Delhi,Delhi,"Narela, Delhi - DPCC",08-04-2025 15:00,28.822836,77.101981,CO,18,69,36
India,Delhi,Delhi,"Narela, Delhi - DPCC",08-04-2025 15:00,28.822836,77.101981,OZONE,5,84,34
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",08-04-2025 15:00,28.56789,77.250515,PM10,97,311,219
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",08-04-2025 15:00,28.56789,77.250515,OZONE,2,321,305
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",08-04-2025 15:00,28.6573814,77.1585447,CO,107,141,116
India,Delhi,Delhi,"Mundka, Delhi - DPCC",08-04-2025 15:00,28.684678,77.076574,PM10,140,461,280
India,Delhi,Delhi,"Mundka, Delhi - DPCC",08-04-2025 15:00,28.684678,77.076574,SO2,6,34,17
India,Delhi,Delhi,"Mundka, Delhi - DPCC",08-04-2025 15:00,28.684678,77.076574,CO,2,82,10
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",08-04-2025 15:00,28.60909,77.0325413,CO,12,113,21
